Altersklasse,Covid-Fälle
0 - 9,568
10 - 19,4382
20 - 29,7662
30 - 39,7052
40 - 49,6563
50 - 59,7183
60 - 69,4262
70 - 79,2595
80+,2933
Unbekannt,5
