Altersklasse,Männer,Frauen,Total
0 - 9,36,28,64
10 - 19,267,276,543
20 - 29,652,691,1343
30 - 39,592,555,1148
40 - 49,537,528,1067
50 - 59,601,557,1159
60 - 69,369,311,681
70 - 79,187,171,358
80+,126,151,277
