Altersklasse,Männer,Frauen,Total
0 - 9,38,32,70
10 - 19,290,302,592
20 - 29,685,710,1395
30 - 39,620,593,1214
40 - 49,571,558,1131
50 - 59,630,600,1231
60 - 69,392,323,716
70 - 79,195,184,379
80+,131,158,289
