Altersklasse,Covid-Fälle
0 - 9,969
10 - 19,4459
20 - 29,7447
30 - 39,7470
40 - 49,7052
50 - 59,7203
60 - 69,4201
70 - 79,2240
80+,2440
Unbekannt,7
