Altersklasse,Männer,Frauen,Total
0 - 9,14,11,25
10 - 19,145,187,332
20 - 29,498,426,924
30 - 39,341,341,682
40 - 49,343,288,631
50 - 59,408,361,769
60 - 69,223,184,407
70 - 79,114,95,209
80+,65,109,174
