Altersklasse,Covid-Fälle
0 - 9,133
10 - 19,1167
20 - 29,2309
30 - 39,2274
40 - 49,1987
50 - 59,2484
60 - 69,1476
70 - 79,873
80+,1139
Unbekannt,5
