Altersklasse,Covid-Fälle
0 - 9,466
10 - 19,2928
20 - 29,5619
30 - 39,4951
40 - 49,4395
50 - 59,4790
60 - 69,2635
70 - 79,1402
80+,1688
Unbekannt,2
