Altersklasse,Covid-Fälle
0 - 9,180
10 - 19,1344
20 - 29,2479
30 - 39,2482
40 - 49,2170
50 - 59,2681
60 - 69,1592
70 - 79,938
80+,1159
Unbekannt,6
