Altersklasse,Covid-Fälle
0 - 9,167
10 - 19,1289
20 - 29,2408
30 - 39,2141
40 - 49,1912
50 - 59,2274
60 - 69,1412
70 - 79,848
80+,1093
Unbekannt,2
