Altersklasse,Covid-Fälle
0 - 9,1221
10 - 19,5095
20 - 29,8130
30 - 39,8169
40 - 49,7757
50 - 59,7825
60 - 69,4487
70 - 79,2334
80+,2492
Unbekannt,7
