Altersklasse,Covid-Fälle
0 - 9,144
10 - 19,1219
20 - 29,2338
30 - 39,2071
40 - 49,1829
50 - 59,2207
60 - 69,1383
70 - 79,816
80+,1069
Unbekannt,2
