Altersklasse,Männer,Frauen,Total
0 - 9,70.0,55.0,125.0
10 - 19,583.0,580.0,1163.0
20 - 29,1155.0,1237.0,2392.0
30 - 39,1132.0,1081.0,2215.0
40 - 49,995.0,1031.0,2028.0
50 - 59,1124.0,1075.0,2200.0
60 - 69,693.0,585.0,1279.0
70 - 79,360.0,327.0,687.0
80+,224.0,326.0,550.0
