Altersklasse,Männer,Frauen,Total
0 - 9,12,11,23
10 - 19,116,138,254
20 - 29,335,304,639
30 - 39,221,195,416
40 - 49,192,182,374
50 - 59,236,216,452
60 - 69,163,158,321
70 - 79,92,69,161
80+,72,64,136
