Altersklasse,Männer,Frauen,Total
0 - 9,25,24,49
10 - 19,337,384,721
20 - 29,890,794,1684
30 - 39,675,579,1254
40 - 49,569,560,1129
50 - 59,672,702,1374
60 - 69,488,428,916
70 - 79,272,231,503
80+,205,288,493
