Altersklasse,Männer,Frauen,Total
0 - 9,47.0,52.0,99.0
10 - 19,637.0,740.0,1377.0
20 - 29,1520.0,1597.0,3117.0
30 - 39,1361.0,1229.0,2590.0
40 - 49,1157.0,1256.0,2413.0
50 - 59,1340.0,1457.0,2797.0
60 - 69,943.0,853.0,1796.0
70 - 79,585.0,512.0,1097.0
80+,443.0,726.0,1169.0
