Altersklasse,Männer,Frauen,Total
0 - 9,12,10,22
10 - 19,114,161,275
20 - 29,449,375,824
30 - 39,296,298,594
40 - 49,289,251,540
50 - 59,344,308,652
60 - 69,190,162,352
70 - 79,97,77,174
80+,60,97,157
