Altersklasse,Covid-Fälle
0 - 9,134
10 - 19,1198
20 - 29,2311
30 - 39,2044
40 - 49,1803
50 - 59,2183
60 - 69,1368
70 - 79,807
80+,1060
Unbekannt,2
