Altersklasse,Männer,Frauen,Total
0 - 9,38.0,23.0,61.0
10 - 19,354.0,396.0,750.0
20 - 29,990.0,932.0,1922.0
30 - 39,755.0,748.0,1503.0
40 - 49,648.0,636.0,1284.0
50 - 59,741.0,793.0,1534.0
60 - 69,463.0,358.0,821.0
70 - 79,213.0,194.0,407.0
80+,164.0,261.0,425.0
