Altersklasse,Covid-Fälle
0 - 9,1224
10 - 19,5115
20 - 29,8155
30 - 39,8191
40 - 49,7780
50 - 59,7840
60 - 69,4495
70 - 79,2336
80+,2494
Unbekannt,7
