Altersklasse,Männer,Frauen,Total
0 - 9,58.0,64.0,122.0
10 - 19,850.0,957.0,1807.0
20 - 29,1926.0,2127.0,4053.0
30 - 39,1774.0,1714.0,3488.0
40 - 49,1504.0,1652.0,3156.0
50 - 59,1790.0,1994.0,3784.0
60 - 69,1224.0,1129.0,2353.0
70 - 79,803.0,711.0,1514.0
80+,656.0,1170.0,1826.0
