Altersklasse,Covid-Fälle
0 - 9,403
10 - 19,3048
20 - 29,5740
30 - 39,5667
40 - 49,5255
50 - 59,5595
60 - 69,3373
70 - 79,1867
80+,2210
Unbekannt,6
