Altersklasse,Männer,Frauen,Total
0 - 9,75.0,58.0,133.0
10 - 19,606.0,609.0,1215.0
20 - 29,1204.0,1299.0,2503.0
30 - 39,1187.0,1140.0,2329.0
40 - 49,1038.0,1078.0,2119.0
50 - 59,1186.0,1132.0,2319.0
60 - 69,736.0,619.0,1356.0
70 - 79,373.0,345.0,718.0
80+,244.0,357.0,601.0
