Altersklasse,Covid-Fälle
0 - 9,553
10 - 19,3408
20 - 29,6433
30 - 39,5478
40 - 49,4728
50 - 59,5048
60 - 69,2733
70 - 79,1440
80+,1744
Unbekannt,4
