Altersklasse,Covid-Fälle
0 - 9,153
10 - 19,1252
20 - 29,2372
30 - 39,2102
40 - 49,1867
50 - 59,2239
60 - 69,1394
70 - 79,825
80+,1078
Unbekannt,2
