Altersklasse,Männer,Frauen,Total
0 - 9,21,9,30
10 - 19,120,147,267
20 - 29,303,332,635
30 - 39,269,316,585
40 - 49,248,220,468
50 - 59,321,311,632
60 - 69,193,196,389
70 - 79,131,118,249
80+,77,116,193
