Altersklasse,Männer,Frauen,Total
0 - 9,6,8,14
10 - 19,44,71,115
20 - 29,215,192,407
30 - 39,132,154,286
40 - 49,146,126,272
50 - 59,198,185,383
60 - 69,110,88,198
70 - 79,53,32,85
80+,38,50,88
