Altersklasse,Männer,Frauen,Total
0 - 9,15,15,30
10 - 19,162,224,386
20 - 29,502,476,978
30 - 39,372,306,678
40 - 49,306,296,602
50 - 59,392,354,746
60 - 69,265,245,510
70 - 79,140,116,256
80+,107,123,230
