Altersklasse,Männer,Frauen,Total
0 - 9,32,30,62
10 - 19,433,488,921
20 - 29,1103,1066,2169
30 - 39,906,775,1681
40 - 49,780,798,1578
50 - 59,888,924,1812
60 - 69,638,577,1215
70 - 79,427,346,773
80+,388,626,1014
