Altersklasse,Männer,Frauen,Total
0 - 9,29.0,22.0,51.0
10 - 19,192.0,232.0,424.0
20 - 29,488.0,541.0,1029.0
30 - 39,438.0,503.0,941.0
40 - 49,399.0,380.0,779.0
50 - 59,504.0,512.0,1016.0
60 - 69,304.0,298.0,602.0
70 - 79,195.0,184.0,379.0
80+,123.0,204.0,327.0
