Altersgruppen,Fälle pro 1000 Personen,woche1,woche2,woche3,woche4,woche5,woche6,woche7,woche8
0 - 9,0.1385175848073913,0.5956256146717825,0.4571080298643913,0.40170099594143477,0.2631834111340435,0.1385175848073913,0.15236934328813043,0.15236934328813043,0.1385175848073913
10 - 19,0.7912087912087913,1.3772893772893773,1.3772893772893773,1.1282051282051282,1.0256410256410255,0.923076923076923,0.63003663003663,0.6446886446886447,0.7912087912087913
20 - 29,2.110726213977974,2.8556884071466704,2.719112005065743,1.825157373263307,1.6389168249711326,1.564420605654263,1.3036838380452194,1.7258290808408139,2.110726213977974
30 - 39,2.987273809884243,2.987273809884243,2.9065366798873717,2.432206041155752,1.9175068374256965,1.725756153683127,1.5340054699405574,1.8266775661792163,2.987273809884243
40 - 49,2.5534764954581606,3.0244045376533135,2.7418477123362215,2.3232450081627527,2.1453388588890285,1.590690275859182,1.8418518983632635,1.8523169659676,2.5534764954581606
50 - 59,3.6748971959138865,2.772454087043894,2.6515081033809054,2.297973689596785,2.4375267476694638,1.9537428130175092,1.8514039037642112,2.4282232104646186,3.6748971959138865
60 - 69,3.86195360735985,2.8288195213145397,2.5336383538730227,2.2753548323616957,2.140063463951,1.8817799424396724,2.2384571864315057,2.7304257988340344,3.86195360735985
70 - 79,4.2229434963180115,2.512825882106586,2.3383240847380726,2.0765713886853034,2.198722646843262,2.1463721076327085,1.9718703102641955,2.896729836317314,4.2229434963180115
80+,3.833431230098618,1.6075679352026464,2.040374686987974,1.7312270071413114,1.6384827031873126,1.6384827031873126,1.4220793272946486,2.1022042229573064,3.833431230098618
