Datum,Isolation,Quarantäne
2021-12-23,n.d.,1047
2021-12-24,n.d.,987
2021-12-25,n.d.,987
2021-12-26,n.d.,987
2021-12-27,n.d.,n.d.
2021-12-28,n.d.,n.d.
2021-12-29,n.d.,n.d.
2021-12-30,n.d.,n.d.
2021-12-31,n.d.,n.d.
2022-01-01,n.d.,n.d.
2022-01-02,n.d.,n.d.
2022-01-03,n.d.,n.d.
2022-01-04,n.d.,n.d.
2022-01-05,n.d.,n.d.
2022-01-06,n.d.,n.d.
2022-01-07,n.d.,n.d.
2022-01-08,n.d.,n.d.
2022-01-09,n.d.,n.d.
2022-01-10,n.d.,n.d.
2022-01-11,n.d.,n.d.
2022-01-12,n.d.,n.d.
2022-01-13,n.d.,n.d.
2022-01-14,n.d.,n.d.
2022-01-15,n.d.,n.d.
2022-01-16,n.d.,n.d.
2022-01-17,n.d.,n.d.
2022-01-18,n.d.,n.d.
2022-01-19,n.d.,n.d.
2022-01-20,n.d.,n.d.
2022-01-21,n.d.,n.d.
2022-01-22,n.d.,n.d.
2022-01-23,n.d.,n.d.
2022-01-24,n.d.,n.d.
2022-01-25,n.d.,n.d.
2022-01-26,n.d.,n.d.
2022-01-27,n.d.,n.d.
2022-01-28,n.d.,n.d.
2022-01-29,n.d.,n.d.
2022-01-30,n.d.,n.d.
2022-01-31,n.d.,n.d.
2022-02-01,n.d.,n.d.
2022-02-02,n.d.,n.d.
2022-02-03,n.d.,n.d.
2022-02-04,n.d.,n.d.
2022-02-05,n.d.,n.d.
2022-02-06,n.d.,n.d.
2022-02-07,n.d.,n.d.
2022-02-08,n.d.,n.d.
2022-02-09,n.d.,n.d.
2022-02-10,n.d.,n.d.
2022-02-11,n.d.,n.d.
2022-02-12,n.d.,n.d.
2022-02-13,n.d.,n.d.
2022-02-14,n.d.,n.d.
2022-02-15,n.d.,n.d.
2022-02-16,n.d.,n.d.
2022-02-17,n.d.,n.d.
