Datum,Isolation,Quarantäne
2021-11-02,802,523
2021-11-03,889,491
2021-11-04,1032,539
2021-11-05,1050,666
2021-11-06,1050,666
2021-11-07,1050,666
2021-11-08,1175,829
2021-11-09,1317,868
2021-11-10,1439,902
2021-11-11,1541,947
2021-11-12,1604,984
2021-11-13,1604,984
2021-11-14,1604,984
2021-11-15,1743,935
2021-11-16,1963,1025
2021-11-17,2149,967
2021-11-18,2376,1030
2021-11-19,2498,991
2021-11-20,2498,991
2021-11-21,2498,991
2021-11-22,1560,1057
2021-11-23,1528,1049
2021-11-24,1576,1028
2021-11-25,1644,1034
2021-11-26,1701,1124
2021-11-27,1701,1124
2021-11-28,1701,1124
2021-11-29,1472,967
2021-11-30,1724,1024
2021-12-01,1578,1111
2021-12-02,1521,1141
2021-12-03,1501,1132
2021-12-04,1501,1132
2021-12-05,1501,1132
2021-12-06,n.d.,n.d.
2021-12-07,n.d.,n.d.
2021-12-08,n.d.,n.d.
2021-12-09,n.d.,n.d.
2021-12-10,n.d.,n.d.
2021-12-11,n.d.,n.d.
2021-12-12,n.d.,n.d.
2021-12-13,n.d.,n.d.
2021-12-14,n.d.,n.d.
2021-12-15,n.d.,n.d.
2021-12-16,n.d.,n.d.
2021-12-17,n.d.,n.d.
2021-12-18,n.d.,n.d.
2021-12-19,n.d.,n.d.
2021-12-20,n.d.,660
2021-12-21,n.d.,916
2021-12-22,n.d.,1286
2021-12-23,n.d.,1047
2021-12-24,n.d.,987
2021-12-25,n.d.,987
2021-12-26,n.d.,987
2021-12-27,n.d.,n.d.
2021-12-28,n.d.,n.d.
