,Datum,Isolation,Quarantäne
209,2020-12-08,1805.0,
210,2020-12-09,1805.0,
211,2020-12-10,1850.0,
212,2020-12-11,1950.0,
213,2020-12-12,1950.0,
214,2020-12-13,1950.0,
215,2020-12-14,2050.0,
216,2020-12-15,2000.0,
217,2020-12-16,2073.0,
218,2020-12-17,2154.0,
219,2020-12-18,2025.0,
220,2020-12-19,2025.0,
221,2020-12-20,2025.0,
222,2020-12-21,2203.0,
223,2020-12-22,2150.0,
224,2020-12-23,2280.0,
225,2020-12-24,2128.0,
226,2020-12-25,2100.0,
227,2020-12-26,2100.0,
228,2020-12-27,2100.0,
229,2020-12-28,2134.0,
230,2020-12-29,1950.0,
231,2020-12-30,1800.0,
232,2020-12-31,2300.0,
233,2021-01-01,2350.0,
234,2021-01-02,2350.0,
235,2021-01-03,2350.0,
236,2021-01-04,2400.0,
237,2021-01-05,2450.0,
238,2021-01-06,2139.0,
239,2021-01-07,2218.0,
240,2021-01-08,2289.0,
241,2021-01-09,2289.0,
242,2021-01-10,2289.0,
243,2021-01-11,1919.0,4566.0
244,2021-01-12,1917.0,4267.0
245,2021-01-13,1825.0,4046.0
246,2021-01-14,1602.0,3996.0
247,2021-01-15,1290.0,3266.0
248,2021-01-16,1290.0,3266.0
249,2021-01-17,1290.0,3266.0
250,2021-01-18,1113.0,2605.0
251,2021-01-19,1216.0,2711.0
252,2021-01-20,1030.0,2825.0
253,2021-01-21,1136.0,2926.0
254,2021-01-22,1275.0,3142.0
255,2021-01-23,1275.0,3142.0
256,2021-01-24,1275.0,3142.0
257,2021-01-25,1369.0,3489.0
258,2021-01-26,1350.0,3001.0
259,2021-01-27,1354.0,2850.0
260,2021-01-28,1378.0,3100.0
261,2021-01-29,1378.0,3113.0
262,2021-01-30,1378.0,3113.0
263,2021-01-31,1378.0,3113.0
264,2021-02-01,1248.0,3199.0
265,2021-02-02,1322.0,3145.0
266,2021-02-03,1373.0,3240.0
