bfs_nummer,Bezirk,Gemeinde,Total Fälle,Fälle neu,Einwohner,fälle_pro_hundert,wappen
2519,Wasseramt,Gerlafingen,1961,15,5529,35.4675348164225,http://i.imgur.com/9CQ9svQ.png
2520,Wasseramt,Halten,191,8,851,22.444183313748532,http://i.imgur.com/v6uFic4.png
2523,Wasseramt,Horriwil,228,4,836,27.27272727272727,http://i.imgur.com/EbWzfp4.png
2525,Wasseramt,Kriegstetten,364,3,1306,27.871362940275652,http://i.imgur.com/4jZ8ETC.png
2526,Wasseramt,Lohn-Ammannsegg,741,12,2873,25.791855203619914,http://i.imgur.com/B6ZozeW.png
2527,Wasseramt,Luterbach,1034,13,3599,28.73020283412059,http://i.imgur.com/M0uPCK5.png
2528,Wasseramt,Obergerlafingen,295,1,1266,23.30173775671406,http://i.imgur.com/oXurco9.png
2529,Wasseramt,Oekingen,216,2,879,24.573378839590443,http://i.imgur.com/zvx6Jpb.png
2530,Wasseramt,Recherswil,543,5,2029,26.761951700344998,http://i.imgur.com/tvUPa8W.png
2532,Wasseramt,Subingen,961,14,3181,30.210625589437285,http://i.imgur.com/3nC8fJu.png
2534,Wasseramt,Zuchwil,2914,25,9103,32.011424805009334,http://i.imgur.com/A5H6PB3.png
