BFS-Nummer,gemeinde,einwohner,fälle_total,letzte Woche,vorletzte Woche,fälle_pro_hundert,letzte_sieben_tage,vorletzte_sieben_tage,kategorie_sieben_tage,Wappen
4026,Ennetbaden,3507.0,714.0,57.0,42.0,20.35928143712575,57.0,42.0,4.0,http://i.imgur.com/wJOjCmh.png
4005,Erlinsbach,4327.0,908.0,85.0,79.0,20.984515830829675,85.0,79.0,4.0,http://i.imgur.com/Ih3L9IJ.png
4196,Fahrwangen,2310.0,545.0,55.0,76.0,23.593073593073594,55.0,76.0,4.0,http://i.imgur.com/zB6yFbf.png
4067,Fischbach-Göslikon,1663.0,396.0,32.0,62.0,23.812387251954302,32.0,62.0,3.0,http://i.imgur.com/mWTvWia.png
4306,Fisibach,526.0,148.0,17.0,19.0,28.13688212927757,17.0,19.0,2.0,http://i.imgur.com/yTT7fDF.png
4027,Fislisbach,5606.0,1394.0,126.0,138.0,24.866214769889407,126.0,138.0,4.0,http://i.imgur.com/Nlv59so.png
4028,Freienwil,1053.0,227.0,24.0,42.0,21.557454890788225,24.0,42.0,2.0,http://i.imgur.com/nTfgkCY.png
4163,Frick,5584.0,1256.0,104.0,115.0,22.492836676217763,104.0,115.0,4.0,http://i.imgur.com/vz4fzlu.png
4307,Full-Reuenthal,862.0,144.0,13.0,14.0,16.70533642691415,13.0,14.0,2.0,http://i.imgur.com/K5WG8LN.png
4164,Gansingen,1060.0,204.0,29.0,35.0,19.245283018867926,29.0,35.0,2.0,http://i.imgur.com/78jiI1Z.png
4029,Gebenstorf,5497.0,1241.0,94.0,114.0,22.575950518464616,94.0,114.0,4.0,http://i.imgur.com/RxpsOVw.png
4232,Geltwil,214.0,,,,,,,,http://i.imgur.com/QsJLNJe.png
4165,Gipf-Oberfrick,3722.0,716.0,71.0,99.0,19.236969371305747,71.0,99.0,4.0,http://i.imgur.com/xgSIKpN.png
4135,Gontenschwil,2137.0,362.0,28.0,14.0,16.939635002339728,28.0,14.0,2.0,http://i.imgur.com/Lclz6bM.png
4006,Gränichen,8039.0,1766.0,165.0,201.0,21.96790645602687,165.0,201.0,4.0,http://i.imgur.com/CIdzMjH.png
4099,Habsburg,418.0,,,,,,,,http://i.imgur.com/gdx3lLc.png
4197,Hallwil,902.0,212.0,13.0,24.0,23.503325942350333,13.0,24.0,2.0,http://i.imgur.com/HtG409v.png
4100,Hausen,3673.0,741.0,52.0,57.0,20.174244486795534,52.0,57.0,4.0,http://i.imgur.com/xX4VwmR.png
4251,Hellikon,783.0,176.0,14.0,26.0,22.47765006385696,14.0,26.0,2.0,http://i.imgur.com/J5RSMbU.png
4198,Hendschiken,1320.0,329.0,25.0,28.0,24.924242424242422,25.0,28.0,2.0,http://i.imgur.com/gWXFvm5.png
4166,Herznach,1560.0,330.0,26.0,40.0,21.153846153846153,26.0,40.0,2.0,http://i.imgur.com/MhJEcTa.png
4007,Hirschthal,1646.0,348.0,23.0,31.0,21.142162818955043,23.0,31.0,2.0,http://i.imgur.com/EukYYJT.png
4199,Holderbank,1382.0,329.0,22.0,24.0,23.806078147612155,22.0,24.0,2.0,http://i.imgur.com/qsnl5Dc.png
4136,Holziken,1494.0,364.0,26.0,48.0,24.364123159303883,26.0,48.0,2.0,http://i.imgur.com/UX2nmJk.png
4200,Hunzenschwil,4106.0,1019.0,106.0,120.0,24.817340477350218,106.0,120.0,4.0,http://i.imgur.com/Vqj6WIx.png
4068,Hägglingen,2478.0,504.0,43.0,36.0,20.33898305084746,43.0,36.0,3.0,http://i.imgur.com/yrhxWfN.png
4084,Islisberg,643.0,174.0,21.0,27.0,27.060653188180407,21.0,27.0,2.0,http://i.imgur.com/xKYZkne.png
4071,Jonen,2190.0,484.0,33.0,47.0,22.100456621004565,33.0,47.0,3.0,http://i.imgur.com/ECk8cce.png
4252,Kaiseraugst,5533.0,1299.0,163.0,126.0,23.477317910717513,163.0,126.0,4.0,http://i.imgur.com/rTZ61AE.png
4169,Kaisten,2685.0,563.0,54.0,38.0,20.9683426443203,54.0,38.0,4.0,http://i.imgur.com/k2OMcvS.png
4233,Kallern,399.0,,,,,,,,http://i.imgur.com/xKNEKBa.png
4030,Killwangen,2050.0,535.0,43.0,53.0,26.097560975609756,43.0,53.0,3.0,http://i.imgur.com/1mK0CwS.png
4275,Kirchleerau,882.0,177.0,10.0,20.0,20.068027210884352,10.0,20.0,1.0,http://i.imgur.com/VUYTPz1.png
