Gemeinde,Infektionen letzte Woche,Infektionen vorletzte Woche
Wettingen,342,407.0
Wohlen,336,403.0
Aarau,326,325.0
Baden,285,383.0
Rheinfelden,258,358.0
Oftringen,233,274.0
Möhlin,205,266.0
Zofingen,171,212.0
Brugg,167,264.0
Lenzburg,158,211.0
