Altersklasse,Covid-Fälle
0 - 9,140
10 - 19,1437
20 - 29,3477
30 - 39,2999
40 - 49,2545
50 - 59,2974
60 - 69,1621
70 - 79,922
80+,1230
Unbekannt,2
