Altersklasse,Männer,Frauen,Total
0 - 9,79.0,63.0,142.0
10 - 19,649.0,640.0,1289.0
20 - 29,1281.0,1364.0,2645.0
30 - 39,1254.0,1203.0,2459.0
40 - 49,1095.0,1136.0,2234.0
50 - 59,1255.0,1190.0,2446.0
60 - 69,772.0,650.0,1423.0
70 - 79,391.0,360.0,752.0
80+,257.0,376.0,633.0
