Stand: 03.12.2020,total,in Prozent
Unbekannt,8025,52.7
Familie,4326,28.4
Einreise Ausland,302,2.0
Arbeitsplatz,1078,7.1
Schule,136,0.9
Bekannte/Nachbarn,683,4.5
Club/Bar,30,0.2
Veranstaltung privat,381,2.5
Heime,205,1.3
Restaurant/Lokal,15,0.1
Veranstaltung öffentlich,10,0.1
Arzt/Spital,15,0.1
Geschäfte und Läden,6,0.0
Militär/WK/Zivildienst,4,0.0
