nachweismethode,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14
Antigen-Schnelltest,4.0,30.0,51.0,49.0,81.0,84.0,50.0
PCR (herkömmlich),238.0,196.0,132.0,143.0,143.0,149.0,155.0
