,Zahlen vom 02.02.2022,vor einer Woche
Neue Fälle,1224.0,1170.0
Fälle gesamt,62291.0,53778.0
Todesfälle neu,1.0,0.0
Todesfälle gesamt,327.0,324.0
hospitalisierte Patienten,30.0,27.0
davon auf der Intensiv-Station,7.0,7.0
