,Zahlen vom 11.03.2022,vor einer Woche
Neue Fälle,1559.0,1324.0
Fälle gesamt,93510.0,84902.0
Todesfälle neu,0.0,0.0
Todesfälle gesamt,344.0,342.0
hospitalisierte Patienten,44.0,33.0
davon auf der Intensiv-Station,4.0,4.0
