,Zahlen vom 31.05.2022,vor einer Woche
Neue Fälle,25.0,29.0
Fälle gesamt,116075.0,115911.0
Todesfälle neu,0.0,1.0
Todesfälle gesamt,366.0,366.0
hospitalisierte Patienten,9.0,3.0
davon auf der Intensiv-Station,4.0,0.0
