,Zahlen vom 18.02.2022,vor einer Woche
Neue Fälle,567.0,784.0
Fälle gesamt,75370.0,70914.0
Todesfälle neu,0.0,2.0
Todesfälle gesamt,335.0,333.0
hospitalisierte Patienten,23.0,26.0
davon auf der Intensiv-Station,1.0,3.0
