,Zahlen vom 12.02.2021,vor einer Woche
Neue Fälle,24,44
Fälle gesamt,13091,12906
Todesfälle neu,0,0
Todesfälle gesamt,245,245
hospitalisierte Patienten ^seit Vortag^,16^-2^,21^-5^
davon auf der Intensiv-Station ^seit Vortag^,6^0^,7^-1^
