,Zahlen vom 06.04.2022,vor einer Woche
Neue Fälle,233.0,1642.0
Fälle gesamt,112136.0,110557.0
Todesfälle neu,2.0,1.0
Todesfälle gesamt,358.0,355.0
hospitalisierte Patienten,26.0,39.0
davon auf der Intensiv-Station,4.0,5.0
