,Zahlen vom 23.05.2022,vor einer Woche
Neue Fälle,55.0,94.0
Fälle gesamt,115882.0,115672.0
Todesfälle neu,0.0,0.0
Todesfälle gesamt,365.0,365.0
hospitalisierte Patienten,2.0,10.0
davon auf der Intensiv-Station,0.0,0.0
