,Zahlen vom 06.05.2021,vor einer Woche
Neue Fälle,51,73
Fälle gesamt,17016,16685
Todesfälle neu,1,0
Todesfälle gesamt,269,265
hospitalisierte Patienten ^seit Vortag^,27^-1^,29^+1^
davon auf der Intensiv-Station ^seit Vortag^,6^-2^,9^0^
