,Zahlen vom 23.04.2021,vor einer Woche
Neue Fälle,79,73
Fälle gesamt,16317,15887
Todesfälle neu,0,0
Todesfälle gesamt,264,263
hospitalisierte Patienten ^seit Vortag^,22^+1^,22^-1^
davon auf der Intensiv-Station ^seit Vortag^,3^0^,7^0^
