,Zahlen vom 10.05.2021,vor einer Woche
Neue Fälle,131,122
Fälle gesamt,17205,16845
Todesfälle neu,0,1
Todesfälle gesamt,270,266
hospitalisierte Patienten ^seit Vortag^,24^+4^,28^-3^
davon auf der Intensiv-Station ^seit Vortag^,4^-1^,5^-4^
