,Zahlen vom 12.07.2021,vor einer Woche
Neue Fälle,12,7
Fälle gesamt,18018,17984
Todesfälle neu,0,0
Todesfälle gesamt,271,271
hospitalisierte Patienten ^seit Vortag^,14^0^,14^0^
davon auf der Intensiv-Station ^seit Vortag^,0^0^,0^0^
