,Zahlen vom 03.05.2021,vor einer Woche
Neue Fälle,122,0
Fälle gesamt,16845,16317
Todesfälle neu,1,0
Todesfälle gesamt,266,264
hospitalisierte Patienten ^seit Vortag^,28^-3^,22^0^
davon auf der Intensiv-Station ^seit Vortag^,5^-4^,3^0^
