,Zahlen vom 22.12.2021,vor einer Woche
Neue Fälle,257.0,292.0
Fälle gesamt,32562.0,30703.0
Todesfälle neu,1.0,0.0
Todesfälle gesamt,307.0,299.0
hospitalisierte Patienten,44.0,44.0
davon auf der Intensiv-Station,13.0,9.0
