,Zahlen vom 14.06.2022,vor einer Woche
Neue Fälle,77.0,114.0
Fälle gesamt,116737.0,116304.0
Todesfälle neu,0.0,0.0
Todesfälle gesamt,366.0,366.0
hospitalisierte Patienten,10.0,6.0
davon auf der Intensiv-Station,0.0,1.0
