,Zahlen vom 17.02.2021,vor einer Woche
Neue Fälle,34,33
Fälle gesamt,13222,13032
Todesfälle neu,0,0
Todesfälle gesamt,246,245
hospitalisierte Patienten ^seit Vortag^,17^-1^,19^+2^
davon auf der Intensiv-Station ^seit Vortag^,4^+2^,7^0^
