,Zahlen vom 08.06.2022,vor einer Woche
Neue Fälle,59.0,26.0
Fälle gesamt,116363.0,116101.0
Todesfälle neu,0.0,0.0
Todesfälle gesamt,366.0,366.0
hospitalisierte Patienten,7.0,5.0
davon auf der Intensiv-Station,0.0,1.0
