,Zahlen vom 20.01.2021,vor einer Woche
Neue Fälle,55,88
Fälle gesamt,12192,11815
Todesfälle neu,2,3
Todesfälle gesamt,241,232
hospitalisierte Patienten ^seit Vortag^,39^-5^,59^-6^
davon auf der Intensiv-Station ^seit Vortag^,9^-1^,15^-2^
