,Zahlen vom 03.02.2021,vor einer Woche
Neue Fälle,-4951,86
Fälle gesamt,12806,12532
Todesfälle neu,0,1
Todesfälle gesamt,245,244
hospitalisierte Patienten ^seit Vortag^,30^+2^,30^+1^
davon auf der Intensiv-Station ^seit Vortag^,7^+1^,6^+1^
