,Zahlen vom 25.08.2022,vor einer Woche
Neue Fälle,93.0,92.0
Fälle gesamt,127089.0,126508.0
Todesfälle neu,0.0,0.0
Todesfälle gesamt,373.0,372.0
hospitalisierte Patienten,9.0,13.0
davon auf der Intensiv-Station,0.0,0.0
