,Zahlen vom 23.02.2021,vor einer Woche
Neue Fälle,28,29
Fälle gesamt,13423,13188
Todesfälle neu,1,0
Todesfälle gesamt,250,246
hospitalisierte Patienten ^seit Vortag^,12^0^,18^-1^
davon auf der Intensiv-Station ^seit Vortag^,4^0^,2^-3^
