,Zahlen vom 24.03.2021,vor einer Woche
Neue Fälle,67,75
Fälle gesamt,14547,14225
Todesfälle neu,0,0
Todesfälle gesamt,257,256
hospitalisierte Patienten ^seit Vortag^,17^-1^,15^+6^
davon auf der Intensiv-Station ^seit Vortag^,5^0^,5^0^
