,Zahlen vom 30.04.2021,vor einer Woche
Neue Fälle,38,79
Fälle gesamt,16723,16317
Todesfälle neu,0,0
Todesfälle gesamt,265,264
hospitalisierte Patienten ^seit Vortag^,31^+2^,22^+1^
davon auf der Intensiv-Station ^seit Vortag^,9^0^,3^0^
