,Zahlen vom 25.02.2021,vor einer Woche
Neue Fälle,43,37
Fälle gesamt,13494,13259
Todesfälle neu,0,0
Todesfälle gesamt,252,246
hospitalisierte Patienten ^seit Vortag^,12^-2^,15^-2^
davon auf der Intensiv-Station ^seit Vortag^,6^0^,4^0^
