,Zahlen vom 18.06.2021,vor einer Woche
Neue Fälle,10,2
Fälle gesamt,17918,17867
Todesfälle neu,0,0
Todesfälle gesamt,271,271
hospitalisierte Patienten ^seit Vortag^,14^0^,14^0^
davon auf der Intensiv-Station ^seit Vortag^,0^0^,0^0^
